city,state,avg_aqi,max_aqi,pct_bad_days,pct_crisis_days,aqi_volatility,winter_avg_aqi,summer_avg_aqi,monsoon_avg_aqi,winter_pct_bad_days,first_year,last_year,early_aqi,recent_aqi,aqi_change,trend_direction,state_population,population_millions,total_vehicles,vehicles_per_1000_people,pct_ev_vehicles,pct_motor_cars,respiratory_cases,respiratory_deaths,case_fatality_rate,total_monitoring_days,data_reliability,aqi_severity_score,market_attractiveness_score,health_impact_score,urgency_score,composite_priority_score,priority_tier,estimated_annual_health_cost,addressable_households
Kanchipuram,Tamil Nadu,57.6,320.0,0.43,0.22,26.8,64.0,59.8,42.0,0.0,2022,2025,68.6,60.6,-8.0,Stable,46665333.333333336,46.67,538553.0,11.54,4.84,13.38,149.0,0.0,0.0,463,Low,13.2,52.7,3.2,10.0,20.8,Tier 4 - Low Priority,572160.0,0.0
Ariyalur,Tamil Nadu,51.5,236.0,0.41,0.0,29.1,59.7,54.3,37.5,0.0,2022,2025,81.5,56.3,-25.2,Improving,46665333.333333336,46.67,538553.0,11.54,4.84,13.38,149.0,0.0,0.0,728,Medium,12.9,52.7,3.2,10.0,20.7,Tier 4 - Low Priority,511567.0,0.0
Rajamahendravaram,Andhra Pradesh,82.8,324.0,4.22,0.11,53.1,128.3,65.9,53.8,11.84,2017,2025,117.2,82.5,-34.7,Improving,24383666.666666668,24.38,210265.0,8.62,4.24,10.07,216.0,1.0,0.46,2724,High,23.3,28.9,8.9,15.9,20.7,Tier 4 - Low Priority,1192320.0,0.0
Ramanathapuram,Tamil Nadu,47.5,246.0,0.35,0.0,27.4,56.6,42.5,42.0,0.95,2022,2025,60.1,43.5,-16.6,Stable,46665333.333333336,46.67,538553.0,11.54,4.84,13.38,149.0,0.0,0.0,864,Medium,12.0,52.7,3.2,10.5,20.5,Tier 4 - Low Priority,471833.0,0.0
Amaravati,Andhra Pradesh,75.1,307.0,4.25,0.04,50.4,113.5,60.3,47.7,12.13,2017,2025,196.2,71.7,-124.5,Improving,24383666.666666668,24.38,210265.0,8.62,4.24,10.07,216.0,1.0,0.46,2543,High,21.8,28.9,8.9,16.1,20.2,Tier 4 - Low Priority,1081440.0,0.0
Ernakulam,Kerala,68.0,247.0,0.12,0.0,28.8,83.3,62.8,61.5,0.43,2020,2022,89.8,54.9,-34.9,Improving,35778666.666666664,35.78,180124.0,5.03,8.58,24.36,155.0,1.0,0.65,827,Medium,14.9,45.8,4.3,10.2,19.9,Tier 4 - Low Priority,702667.0,0.0
Srinagar,Jammu and Kashmir,81.0,326.0,3.41,0.24,47.8,107.1,69.7,73.6,8.68,2021,2023,87.9,69.7,-18.2,Stable,5024666.666666667,5.02,41030.0,8.17,1.82,33.88,130.0,2.0,1.54,822,Medium,21.7,19.1,25.9,14.3,19.8,Tier 4 - Low Priority,702000.0,0.0
Kadapa,Andhra Pradesh,66.7,260.0,0.91,0.0,34.6,82.9,63.4,48.5,2.54,2023,2025,68.0,71.4,3.4,Stable,24383666.666666668,24.38,210265.0,8.62,4.24,10.07,216.0,1.0,0.46,660,Medium,16.2,28.9,8.9,21.3,19.6,Tier 4 - Low Priority,960480.0,0.0
Thrissur,Kerala,67.0,181.0,0.0,0.0,24.9,75.5,69.5,52.9,0.0,2020,2025,77.8,57.6,-20.2,Improving,35778666.666666664,35.78,180124.0,5.03,8.58,24.36,155.0,1.0,0.65,1301,High,13.9,45.8,4.3,10.0,19.5,Tier 4 - Low Priority,692333.0,0.0
Kashipur,Uttarakhand,96.0,269.0,2.53,0.0,42.6,121.2,91.0,75.6,5.96,2023,2025,92.1,92.7,0.5,Stable,5478666.666666667,5.48,66056.0,12.06,2.92,22.3,81.0,2.0,2.47,711,Medium,22.3,15.1,14.8,23.0,19.5,Tier 4 - Low Priority,518400.0,0.0
Palkalaiperur,Tamil Nadu,42.5,103.0,0.0,0.0,18.8,47.8,42.9,36.3,0.0,2023,2025,54.3,39.8,-14.5,Stable,46665333.333333336,46.67,538553.0,11.54,4.84,13.38,149.0,0.0,0.0,554,Medium,9.4,52.7,3.2,10.0,19.4,Tier 4 - Low Priority,422167.0,0.0
Rishikesh,Uttarakhand,66.8,208.0,0.25,0.0,33.4,78.0,74.0,43.9,0.82,2023,2025,53.0,77.7,24.7,Worsening,5478666.666666667,5.48,66056.0,12.06,2.92,22.3,81.0,2.0,2.47,785,Medium,15.7,15.1,14.8,30.4,19.1,Tier 4 - Low Priority,360720.0,0.0
Imphal,Manipur,101.2,500.0,2.33,0.58,37.1,107.4,99.2,96.1,1.63,2022,2025,86.1,105.9,19.8,Stable,1279333.3333333333,1.28,7833.0,6.12,0.45,19.72,6.0,0.0,0.0,860,Medium,21.8,9.5,4.7,30.8,18.4,Tier 4 - Low Priority,40480.0,0.0
Gangtok,Sikkim,53.5,265.0,0.58,0.0,31.4,62.4,60.2,37.6,1.82,2022,2025,33.6,83.0,49.4,Worsening,571333.3333333334,0.57,2517.0,4.41,0.12,30.39,0.0,0.0,0.0,869,Medium,13.6,13.0,0.0,40.9,18.2,Tier 4 - Low Priority,0.0,0.0
Tirupati,Andhra Pradesh,70.4,311.0,0.57,0.07,34.1,88.3,68.9,53.5,1.66,2016,2025,89.7,87.9,-1.7,Stable,24383666.666666668,24.38,210265.0,8.62,4.24,10.07,216.0,1.0,0.46,2968,High,16.4,28.9,8.9,10.8,17.0,Tier 4 - Low Priority,1013760.0,0.0
Vijayawada,Andhra Pradesh,70.6,500.0,0.99,0.14,32.0,80.5,70.6,61.0,0.65,2017,2025,82.2,67.4,-14.8,Stable,24383666.666666668,24.38,210265.0,8.62,4.24,10.07,216.0,1.0,0.46,1408,High,16.2,28.9,8.9,10.3,16.8,Tier 4 - Low Priority,1016640.0,0.0
Aizawl,Mizoram,45.1,208.0,0.06,0.0,31.8,47.8,55.6,26.5,0.18,2020,2025,29.3,61.6,32.3,Worsening,793666.6666666666,0.79,7471.0,9.41,0.8,14.78,0.0,0.0,0.0,1636,High,12.4,7.3,0.0,40.1,16.2,Tier 4 - Low Priority,0.0,0.0
Anantapur,Andhra Pradesh,67.4,191.0,0.0,0.0,24.7,72.4,65.8,62.6,0.0,2022,2025,69.9,65.5,-4.4,Stable,24383666.666666668,24.38,210265.0,8.62,4.24,10.07,216.0,1.0,0.46,840,Medium,13.9,28.9,8.9,10.0,15.9,Tier 4 - Low Priority,970560.0,0.0
Puducherry,Puducherry,56.0,274.0,0.52,0.0,26.0,67.1,48.7,52.3,1.17,2021,2025,54.1,54.1,-0.0,Stable,1578333.3333333333,1.58,19177.0,12.15,4.43,20.63,0.0,0.0,0.0,1532,High,12.9,10.6,0.0,10.6,9.8,Tier 4 - Low Priority,0.0,0.0
