city,state,avg_aqi,max_aqi,pct_bad_days,pct_crisis_days,aqi_volatility,winter_avg_aqi,summer_avg_aqi,monsoon_avg_aqi,winter_pct_bad_days,first_year,last_year,early_aqi,recent_aqi,aqi_change,trend_direction,state_population,population_millions,total_vehicles,vehicles_per_1000_people,pct_ev_vehicles,pct_motor_cars,respiratory_cases,respiratory_deaths,case_fatality_rate,total_monitoring_days,data_reliability,aqi_severity_score,market_attractiveness_score,health_impact_score,urgency_score,composite_priority_score,priority_tier,estimated_annual_health_cost,addressable_households
Purnia,Bihar,167.9,460.0,32.0,13.17,102.9,253.0,119.1,102.2,66.42,2021,2025,295.5,117.7,-177.9,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,1025,High,55.2,23.4,100.0,43.2,51.0,Tier 2 - Early Expansion,46541880.0,440800.0
Araria,Bihar,166.5,399.0,33.71,10.41,91.3,239.0,130.8,94.7,66.41,2021,2025,227.6,123.0,-104.6,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,961,Medium,53.9,23.4,100.0,43.2,50.5,Tier 2 - Early Expansion,46153800.0,440800.0
Rajgir,Bihar,153.8,461.0,28.65,12.67,100.2,242.3,110.0,77.2,65.07,2021,2025,282.3,148.0,-134.4,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,939,Medium,52.0,23.4,100.0,42.5,49.7,Tier 3 - Future Opportunity,42633360.0,440800.0
Buxar,Bihar,166.0,454.0,31.94,11.94,97.5,233.6,159.9,99.6,56.94,2021,2025,328.4,114.6,-213.8,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,645,Medium,54.4,23.4,100.0,38.5,49.5,Tier 3 - Future Opportunity,46015200.0,440800.0
Samastipur,Bihar,169.3,459.0,31.39,13.27,93.9,230.7,163.5,108.2,58.55,2022,2025,219.0,121.2,-97.8,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,927,Medium,53.9,23.4,100.0,39.3,49.5,Tier 3 - Future Opportunity,46929960.0,440800.0
Munger,Bihar,169.3,445.0,32.58,11.28,93.1,228.3,155.2,94.3,56.78,2021,2025,264.9,103.1,-161.7,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,1099,High,54.2,23.4,100.0,38.4,49.4,Tier 3 - Future Opportunity,46929960.0,440800.0
Guwahati,Assam,123.0,415.0,21.72,3.29,85.5,197.7,110.4,61.6,47.59,2019,2025,109.2,144.7,35.5,Worsening,6789666.666666667,6.79,154288.0,22.72,2.51,10.28,9886.0,83.0,0.84,2279,High,42.2,12.3,100.0,63.8,48.8,Tier 3 - Future Opportunity,81065200.0,150881.0
Bettiah,Bihar,165.7,470.0,30.14,12.25,99.1,223.3,151.8,93.4,50.13,2021,2025,199.6,123.1,-76.5,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,939,Medium,54.0,23.4,100.0,35.1,48.5,Tier 3 - Future Opportunity,45932040.0,440800.0
Gwalior,Madhya Pradesh,143.0,419.0,20.52,5.22,78.5,219.0,125.9,83.4,56.04,2020,2025,144.4,132.7,-11.7,Stable,29831000.0,29.83,392176.0,13.15,4.77,13.24,6654.0,38.0,0.57,1915,High,43.0,35.9,100.0,38.0,48.5,Tier 3 - Future Opportunity,63434800.0,662911.0
Dharuhera,Haryana,179.2,491.0,37.44,11.35,90.9,239.1,173.6,120.8,63.9,2019,2024,169.1,161.3,-7.7,Stable,17198333.333333332,17.2,254937.0,14.82,2.08,29.86,1190.0,7.0,0.59,1779,High,57.0,30.0,69.2,42.0,48.3,Tier 3 - Future Opportunity,14216533.0,382185.0
Ballabgarh,Haryana,170.2,467.0,35.53,10.43,93.4,239.5,156.7,118.2,67.08,2019,2024,205.0,169.7,-35.3,Improving,17198333.333333332,17.2,254937.0,14.82,2.08,29.86,1190.0,7.0,0.59,2004,High,55.6,30.0,69.2,43.5,48.2,Tier 3 - Future Opportunity,13502533.0,382185.0
Sikar,Rajasthan,137.8,452.0,17.06,1.74,65.5,201.1,128.5,88.0,49.36,2023,2025,135.0,139.3,4.3,Stable,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,803,Medium,38.3,33.9,100.0,44.7,48.1,Tier 3 - Future Opportunity,29452453.0,0.0
Kishanganj,Bihar,152.2,403.0,29.02,7.95,88.6,225.7,127.9,74.7,59.1,2021,2025,280.2,127.5,-152.7,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,1082,High,49.6,23.4,100.0,39.6,48.1,Tier 3 - Future Opportunity,42189840.0,440800.0
Delhi,Delhi,215.9,497.0,51.37,23.54,102.8,313.1,193.7,143.1,89.93,2015,2025,229.5,208.3,-21.3,Improving,26715666.666666668,26.72,183663.0,6.87,6.37,28.67,0.0,0.0,0.0,3679,High,69.3,38.6,0.0,55.0,47.7,Tier 3 - Future Opportunity,0.0,1484204.0
Arrah,Bihar,156.4,420.0,26.49,10.82,89.5,220.7,130.0,96.7,55.56,2021,2025,297.6,114.1,-183.5,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,989,Medium,49.3,23.4,100.0,37.8,47.6,Tier 3 - Future Opportunity,43354080.0,440800.0
Bikaner,Rajasthan,156.6,403.0,21.97,4.73,69.7,210.4,156.0,109.1,49.08,2023,2025,163.5,148.2,-15.3,Stable,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,783,Medium,43.6,33.9,100.0,34.5,47.4,Tier 3 - Future Opportunity,33470640.0,574704.0
Gorakhpur,Uttar Pradesh,100.4,393.0,5.34,0.73,55.7,138.2,94.0,68.5,11.66,2021,2025,101.7,114.4,12.8,Stable,67305333.33333333,67.31,988861.0,14.69,3.47,12.85,41962.0,13.0,0.03,1368,High,26.7,56.0,100.0,35.8,47.3,Tier 3 - Future Opportunity,280865653.0,0.0
Nagaur,Rajasthan,135.1,353.0,12.87,2.12,61.2,181.2,135.0,90.6,29.57,2023,2025,132.9,148.4,15.5,Stable,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,707,Medium,35.4,33.9,100.0,44.8,47.1,Tier 3 - Future Opportunity,28875373.0,0.0
Manesar,Haryana,166.0,486.0,33.87,9.49,91.4,229.1,152.1,113.9,61.91,2018,2024,228.1,129.4,-98.7,Improving,17198333.333333332,17.2,254937.0,14.82,2.08,29.86,1190.0,7.0,0.59,1981,High,54.0,30.0,69.2,41.0,47.0,Tier 3 - Future Opportunity,13169333.0,382185.0
Jodhpur,Rajasthan,158.8,436.0,26.22,4.58,71.4,191.1,165.3,115.2,39.87,2015,2025,293.7,119.6,-174.1,Improving,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,3272,High,45.9,33.9,100.0,29.9,47.0,Tier 3 - Future Opportunity,33940853.0,574704.0
Katni,Madhya Pradesh,136.1,350.0,21.01,1.64,72.5,198.1,128.0,81.7,47.95,2019,2025,201.4,122.2,-79.2,Improving,29831000.0,29.83,392176.0,13.15,4.77,13.24,6654.0,38.0,0.57,2009,High,41.1,35.9,100.0,34.0,46.9,Tier 3 - Future Opportunity,60373960.0,662911.0
Motihari,Bihar,146.8,448.0,25.22,8.32,91.7,219.4,119.8,80.0,53.43,2021,2025,222.4,106.8,-115.6,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,1118,High,48.0,23.4,100.0,36.7,46.8,Tier 3 - Future Opportunity,40692960.0,440800.0
Hisar,Haryana,166.3,490.0,32.05,10.26,92.5,236.0,152.8,112.8,61.45,2019,2024,171.9,136.3,-35.7,Improving,17198333.333333332,17.2,254937.0,14.82,2.08,29.86,1190.0,7.0,0.59,1891,High,53.5,30.0,69.2,40.7,46.8,Tier 3 - Future Opportunity,13193133.0,382185.0
Jhunjhunu,Rajasthan,150.8,422.0,22.25,4.08,69.5,199.7,151.7,101.5,45.53,2023,2025,168.3,145.7,-22.6,Improving,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,809,Medium,42.9,33.9,100.0,32.8,46.7,Tier 3 - Future Opportunity,32230987.0,574704.0
Ahmednagar,Maharashtra,114.1,277.0,9.62,0.0,58.5,167.2,105.1,68.6,26.17,2024,2025,102.6,132.4,29.9,Worsening,71443333.33333333,71.44,762817.0,10.68,6.06,15.49,5218.0,112.0,2.15,395,Low,30.8,56.8,73.0,43.1,46.7,Tier 3 - Future Opportunity,39691587.0,0.0
Pimpri Chinchwad,Maharashtra,91.5,272.0,4.68,0.0,53.8,158.6,91.7,58.5,21.01,2023,2025,68.8,104.0,35.2,Worsening,71443333.33333333,71.44,762817.0,10.68,6.06,15.49,5218.0,112.0,2.15,641,Medium,24.8,56.8,73.0,50.5,46.5,Tier 3 - Future Opportunity,31829800.0,0.0
Asansol,West Bengal,134.3,394.0,22.25,3.2,79.7,210.1,114.7,73.5,55.69,2018,2025,132.2,139.2,7.0,Stable,43817666.666666664,43.82,295242.0,6.74,2.48,9.02,2114.0,2.0,0.09,2472,High,42.7,47.8,48.2,47.8,46.1,Tier 3 - Future Opportunity,18927347.0,973726.0
Sasaram,Bihar,147.6,401.0,25.0,9.01,89.1,206.7,140.1,63.1,47.82,2021,2025,275.1,144.0,-131.0,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,1076,High,47.5,23.4,100.0,33.9,46.0,Tier 3 - Future Opportunity,40914720.0,440800.0
Navi Mumbai,Maharashtra,109.8,477.0,8.77,1.14,58.8,151.0,103.0,74.7,21.52,2015,2025,91.4,104.8,13.4,Stable,71443333.33333333,71.44,762817.0,10.68,6.06,15.49,5218.0,112.0,2.15,3500,High,29.9,56.8,73.0,40.8,45.8,Tier 3 - Future Opportunity,38195760.0,0.0
Jind,Haryana,157.4,491.0,28.34,10.51,95.7,228.7,132.7,113.4,59.0,2019,2024,164.6,126.1,-38.5,Improving,17198333.333333332,17.2,254937.0,14.82,2.08,29.86,1190.0,7.0,0.59,1969,High,51.5,30.0,69.2,39.5,45.8,Tier 3 - Future Opportunity,12487067.0,382185.0
Tonk,Rajasthan,140.8,368.0,17.8,2.78,66.8,195.8,122.2,103.5,48.26,2023,2025,153.5,119.7,-33.8,Improving,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,719,Medium,39.3,33.9,100.0,34.1,45.8,Tier 3 - Future Opportunity,30093653.0,0.0
Dholpur,Rajasthan,137.7,417.0,16.57,7.22,83.7,200.8,126.5,84.1,42.13,2023,2025,142.1,111.2,-30.9,Improving,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,706,Medium,41.7,33.9,100.0,31.1,45.8,Tier 3 - Future Opportunity,29431080.0,0.0
Khurja,Uttar Pradesh,125.3,394.0,11.94,1.02,57.8,149.9,110.4,114.8,21.92,2022,2025,139.8,131.7,-8.0,Stable,67305333.33333333,67.31,988861.0,14.69,3.47,12.85,41962.0,13.0,0.03,980,Medium,33.0,56.0,100.0,21.0,45.8,Tier 3 - Future Opportunity,350522573.0,0.0
Gaya,Bihar,144.5,479.0,22.5,6.78,86.4,215.0,127.6,80.6,51.56,2015,2025,288.8,111.2,-177.6,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,3009,High,45.5,23.4,100.0,35.8,45.7,Tier 3 - Future Opportunity,40055400.0,440800.0
Durgapur,West Bengal,144.9,451.0,23.11,4.15,77.0,197.9,139.1,90.0,48.4,2016,2025,143.1,152.5,9.3,Stable,43817666.666666664,43.82,295242.0,6.74,2.48,9.02,2114.0,2.0,0.09,2194,High,44.0,47.8,48.2,44.2,45.6,Tier 3 - Future Opportunity,20421240.0,973726.0
Angul,Odisha,157.7,370.0,28.55,6.46,80.1,221.0,130.1,83.6,58.67,2023,2025,238.1,143.3,-94.8,Improving,10472666.666666666,10.47,209524.0,20.01,5.65,9.03,1244.0,10.0,0.8,557,Medium,48.5,15.3,100.0,39.3,45.6,Tier 3 - Future Opportunity,13078587.0,232726.0
Sawai Madhopur,Rajasthan,121.3,328.0,6.67,0.13,49.4,150.2,127.4,82.3,14.66,2023,2025,111.9,142.2,30.3,Worsening,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,750,Medium,28.7,33.9,100.0,47.3,45.3,Tier 3 - Future Opportunity,25925853.0,0.0
Bihar Sharif,Bihar,145.8,433.0,22.82,9.55,92.6,198.6,152.1,76.4,40.46,2021,2025,253.4,142.3,-111.1,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,942,Medium,47.1,23.4,100.0,30.2,44.9,Tier 3 - Future Opportunity,40415760.0,440800.0
Kalyan,Maharashtra,116.7,414.0,11.59,0.96,63.8,165.7,110.1,69.1,24.93,2019,2025,98.7,104.8,6.1,Stable,71443333.33333333,71.44,762817.0,10.68,6.06,15.49,5218.0,112.0,2.15,1873,High,33.0,56.8,73.0,32.5,44.8,Tier 3 - Future Opportunity,40596040.0,0.0
Karauli,Rajasthan,108.5,394.0,8.3,3.13,64.3,151.8,103.7,69.4,23.15,2023,2025,83.0,112.9,29.9,Worsening,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,735,Medium,30.6,33.9,100.0,41.6,44.6,Tier 3 - Future Opportunity,23190067.0,0.0
Charkhi Dadri,Haryana,162.3,470.0,30.48,7.31,85.0,209.6,165.7,109.5,50.0,2020,2025,193.8,175.1,-18.7,Stable,17198333.333333332,17.2,254937.0,14.82,2.08,29.86,1190.0,7.0,0.59,1601,High,50.8,30.0,69.2,35.0,44.4,Tier 3 - Future Opportunity,12875800.0,382185.0
Aurangabad,Bihar,147.7,406.0,20.68,6.59,79.1,205.8,135.3,91.4,44.01,2022,2025,176.8,151.6,-25.2,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,880,Medium,43.8,23.4,100.0,32.0,44.2,Tier 3 - Future Opportunity,40942440.0,440800.0
Bharatpur,Rajasthan,135.7,396.0,16.37,3.37,72.3,180.8,133.0,91.1,36.11,2023,2025,155.5,110.4,-45.1,Improving,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,831,Medium,39.1,33.9,100.0,28.1,44.2,Tier 3 - Future Opportunity,29003613.0,0.0
Vrindavan,Uttar Pradesh,111.1,475.0,6.41,1.34,62.9,145.5,113.6,72.4,15.66,2021,2025,161.0,83.5,-77.5,Improving,67305333.33333333,67.31,988861.0,14.69,3.47,12.85,41962.0,13.0,0.03,1341,High,30.0,56.0,100.0,17.8,44.0,Tier 3 - Future Opportunity,310798547.0,0.0
Kolkata,West Bengal,113.4,419.0,17.33,3.51,81.9,203.9,81.3,63.2,50.63,2016,2025,94.9,95.5,0.6,Stable,43817666.666666664,43.82,295242.0,6.74,2.48,9.02,2114.0,2.0,0.09,3046,High,38.4,47.8,48.2,45.3,43.9,Tier 3 - Future Opportunity,15981840.0,0.0
Firozabad,Uttar Pradesh,99.1,489.0,7.66,1.66,63.2,131.7,93.3,71.0,17.62,2021,2025,143.0,71.1,-71.8,Improving,67305333.33333333,67.31,988861.0,14.69,3.47,12.85,41962.0,13.0,0.03,1384,High,28.9,56.0,100.0,18.8,43.8,Tier 3 - Future Opportunity,277228947.0,0.0
Barrackpore,West Bengal,127.4,366.0,21.97,2.89,80.0,212.5,86.1,66.2,59.57,2023,2025,215.2,122.4,-92.8,Improving,43817666.666666664,43.82,295242.0,6.74,2.48,9.02,2114.0,2.0,0.09,519,Medium,41.8,47.8,48.2,39.8,43.8,Tier 3 - Future Opportunity,17954907.0,973726.0
Sangli,Maharashtra,84.0,254.0,1.5,0.0,48.5,122.9,83.3,45.2,3.98,2023,2025,67.9,103.6,35.7,Worsening,71443333.33333333,71.44,762817.0,10.68,6.06,15.49,5218.0,112.0,2.15,666,Medium,21.5,56.8,73.0,42.0,43.2,Tier 3 - Future Opportunity,29220800.0,0.0
Sonipat,Haryana,161.1,455.0,27.51,7.59,82.5,203.2,156.2,120.0,45.51,2019,2024,160.0,134.2,-25.8,Improving,17198333.333333332,17.2,254937.0,14.82,2.08,29.86,1190.0,7.0,0.59,1752,High,49.0,30.0,69.2,32.8,43.2,Tier 3 - Future Opportunity,12780600.0,382185.0
Jalna,Maharashtra,108.9,335.0,5.5,0.81,54.8,132.6,102.7,91.2,7.28,2023,2025,96.8,108.9,12.1,Stable,71443333.33333333,71.44,762817.0,10.68,6.06,15.49,5218.0,112.0,2.15,618,Medium,27.7,56.8,73.0,33.6,43.2,Tier 3 - Future Opportunity,37882680.0,0.0
Kurukshetra,Haryana,141.5,449.0,25.14,5.84,84.0,200.2,127.4,98.3,51.31,2019,2024,146.3,120.6,-25.7,Improving,17198333.333333332,17.2,254937.0,14.82,2.08,29.86,1190.0,7.0,0.59,2088,High,45.7,30.0,69.2,35.7,42.8,Tier 3 - Future Opportunity,11225667.0,382185.0
Prayagraj,Uttar Pradesh,98.5,387.0,5.78,0.54,53.3,131.2,92.3,72.8,15.42,2021,2025,115.9,82.4,-33.5,Improving,67305333.33333333,67.31,988861.0,14.69,3.47,12.85,41962.0,13.0,0.03,1470,High,26.1,56.0,100.0,17.7,42.6,Tier 3 - Future Opportunity,275550467.0,0.0
Tumakuru,Karnataka,102.3,254.0,1.5,0.0,44.9,127.5,107.1,73.9,3.93,2023,2025,95.8,151.9,56.0,Worsening,36658666.666666664,36.66,444335.0,12.12,6.65,15.97,2567.0,21.0,0.82,601,Medium,23.2,43.8,70.0,52.0,42.6,Tier 3 - Future Opportunity,17506940.0,0.0
Yamunanagar,Haryana,154.6,400.0,26.01,5.72,77.5,200.8,141.6,123.5,47.31,2019,2024,174.1,119.0,-55.1,Improving,17198333.333333332,17.2,254937.0,14.82,2.08,29.86,1190.0,7.0,0.59,1957,High,46.5,30.0,69.2,33.7,42.6,Tier 3 - Future Opportunity,12264933.0,382185.0
Panchkula,Haryana,103.3,474.0,8.45,0.49,59.2,134.3,96.1,76.7,16.87,2015,2025,92.0,185.4,93.4,Worsening,17198333.333333332,17.2,254937.0,14.82,2.08,29.86,1190.0,7.0,0.59,2841,High,29.0,30.0,69.2,58.4,42.6,Tier 3 - Future Opportunity,8195133.0,0.0
Dausa,Rajasthan,143.1,379.0,13.65,2.02,58.0,180.6,145.0,104.1,31.44,2023,2025,151.7,145.7,-6.0,Stable,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,791,Medium,36.1,33.9,100.0,25.7,42.5,Tier 3 - Future Opportunity,30585240.0,0.0
Nalbari,Assam,140.0,384.0,24.81,4.22,83.9,196.9,123.7,72.9,47.63,2022,2025,200.8,139.7,-61.1,Improving,6789666.666666667,6.79,154288.0,22.72,2.51,10.28,9886.0,83.0,0.84,806,Medium,45.4,12.3,100.0,33.8,42.4,Tier 3 - Future Opportunity,92269333.0,150881.0
Dhanbad,Jharkhand,169.7,436.0,23.88,3.98,60.3,187.1,163.3,156.5,39.47,2023,2025,185.7,154.4,-31.4,Improving,12872333.333333334,12.87,151438.0,11.76,1.75,10.77,13531.0,48.0,0.35,578,Medium,44.2,17.9,100.0,29.7,42.4,Tier 3 - Future Opportunity,153080713.0,286052.0
Thane,Maharashtra,119.0,500.0,11.73,1.06,65.2,161.5,111.2,74.9,22.08,2016,2025,137.6,87.4,-50.2,Improving,71443333.33333333,71.44,762817.0,10.68,6.06,15.49,5218.0,112.0,2.15,2642,High,33.6,56.8,73.0,21.0,42.2,Tier 3 - Future Opportunity,41396133.0,0.0
Parbhani,Maharashtra,109.9,335.0,8.29,0.69,58.6,135.3,116.5,73.7,12.61,2023,2025,98.4,101.8,3.4,Stable,71443333.33333333,71.44,762817.0,10.68,6.06,15.49,5218.0,112.0,2.15,579,Medium,29.7,56.8,73.0,26.3,42.1,Tier 3 - Future Opportunity,38230547.0,0.0
Jaipur,Rajasthan,135.6,450.0,14.1,1.75,62.2,171.0,133.2,99.6,27.2,2015,2025,288.3,134.2,-154.1,Improving,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,3255,High,36.2,33.9,100.0,23.6,42.0,Tier 3 - Future Opportunity,28982240.0,0.0
Mandideep,Madhya Pradesh,120.3,372.0,13.19,0.5,65.1,164.3,114.3,80.2,27.17,2018,2025,161.0,149.2,-11.8,Stable,29831000.0,29.83,392176.0,13.15,4.77,13.24,6654.0,38.0,0.57,2593,High,34.3,35.9,100.0,23.6,41.9,Tier 3 - Future Opportunity,53365080.0,0.0
Panipat,Haryana,152.0,475.0,21.55,8.63,85.0,206.4,143.9,114.4,42.55,2019,2024,172.1,121.2,-51.0,Improving,17198333.333333332,17.2,254937.0,14.82,2.08,29.86,1190.0,7.0,0.59,1842,High,45.9,30.0,69.2,31.3,41.8,Tier 3 - Future Opportunity,12058667.0,382185.0
Bhiwandi,Maharashtra,106.1,270.0,5.97,0.0,50.9,156.2,96.3,71.2,18.13,2023,2025,101.6,105.3,3.6,Stable,71443333.33333333,71.44,762817.0,10.68,6.06,15.49,5218.0,112.0,2.15,636,Medium,26.7,56.8,73.0,29.1,41.8,Tier 3 - Future Opportunity,36908653.0,0.0
Manguraha,Bihar,102.1,332.0,6.56,0.94,57.0,121.2,112.6,58.6,9.15,2022,2025,85.0,115.3,30.2,Worsening,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,747,Medium,27.6,23.4,100.0,44.6,41.7,Tier 3 - Future Opportunity,28302120.0,0.0
Belapur,Maharashtra,97.9,300.0,2.7,0.0,49.0,139.6,92.1,60.2,5.86,2023,2025,82.2,110.2,28.0,Worsening,71443333.33333333,71.44,762817.0,10.68,6.06,15.49,5218.0,112.0,2.15,666,Medium,23.9,56.8,73.0,32.9,41.7,Tier 3 - Future Opportunity,34056147.0,0.0
Bundi,Rajasthan,131.3,353.0,12.03,1.16,58.1,171.3,124.8,97.3,31.22,2023,2025,144.4,126.9,-17.5,Stable,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,690,Medium,33.9,33.9,100.0,25.6,41.7,Tier 3 - Future Opportunity,28063187.0,0.0
Kunjemura,Chhattisgarh,105.4,345.0,7.89,0.45,61.6,141.8,104.9,69.0,16.82,2023,2025,89.5,137.3,47.8,Worsening,10718666.666666666,10.72,177100.0,16.52,3.88,11.14,3495.0,17.0,0.49,672,Medium,29.5,16.2,100.0,48.4,41.5,Tier 3 - Future Opportunity,24558200.0,0.0
Mahad,Maharashtra,90.8,242.0,2.54,0.0,46.9,131.1,85.8,57.9,7.34,2023,2025,83.6,99.6,16.0,Stable,71443333.33333333,71.44,762817.0,10.68,6.06,15.49,5218.0,112.0,2.15,668,Medium,22.5,56.8,73.0,33.7,41.5,Tier 3 - Future Opportunity,31586293.0,0.0
Badlapur,Maharashtra,114.0,310.0,9.44,0.59,59.0,162.3,104.0,74.9,22.57,2023,2025,116.3,107.6,-8.7,Stable,71443333.33333333,71.44,762817.0,10.68,6.06,15.49,5218.0,112.0,2.15,678,Medium,30.8,56.8,73.0,21.3,41.3,Tier 3 - Future Opportunity,39656800.0,0.0
Jabalpur,Madhya Pradesh,117.7,368.0,10.88,0.93,61.8,167.4,109.4,72.4,27.07,2019,2025,165.5,87.6,-77.8,Improving,29831000.0,29.83,392176.0,13.15,4.77,13.24,6654.0,38.0,0.57,2050,High,32.4,35.9,100.0,23.5,41.2,Tier 3 - Future Opportunity,52211720.0,0.0
Kota,Rajasthan,123.4,375.0,11.6,1.18,60.9,169.4,116.4,81.8,28.26,2017,2025,172.9,131.3,-41.6,Improving,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,2707,High,33.3,33.9,100.0,24.1,41.2,Tier 3 - Future Opportunity,26374693.0,0.0
Ulhasnagar,Maharashtra,115.3,319.0,9.98,0.61,57.4,160.1,101.7,81.8,21.78,2023,2025,127.0,101.3,-25.7,Improving,71443333.33333333,71.44,762817.0,10.68,6.06,15.49,5218.0,112.0,2.15,661,Medium,30.8,56.8,73.0,20.9,41.2,Tier 3 - Future Opportunity,40109027.0,0.0
Bhopal,Madhya Pradesh,120.1,392.0,9.97,0.73,58.4,168.5,107.5,79.6,27.23,2019,2025,158.6,118.6,-40.0,Improving,29831000.0,29.83,392176.0,13.15,4.77,13.24,6654.0,38.0,0.57,2057,High,31.7,35.9,100.0,23.6,41.0,Tier 3 - Future Opportunity,53276360.0,0.0
Jaisalmer,Rajasthan,129.3,374.0,11.61,2.29,59.6,166.7,123.5,99.1,25.75,2023,2025,135.5,130.9,-4.5,Stable,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,741,Medium,33.8,33.9,100.0,22.9,41.0,Tier 3 - Future Opportunity,27635720.0,0.0
Talcher,Odisha,133.6,414.0,18.56,5.24,78.0,194.8,112.7,79.8,43.25,2018,2025,184.9,150.1,-34.7,Improving,10472666.666666666,10.47,209524.0,20.01,5.65,9.03,1244.0,10.0,0.8,2139,High,40.8,15.3,100.0,31.6,41.0,Tier 3 - Future Opportunity,11079893.0,0.0
Balasore,Odisha,135.3,406.0,17.8,4.54,74.8,199.0,97.2,86.8,44.49,2023,2025,188.3,120.8,-67.5,Improving,10472666.666666666,10.47,209524.0,20.01,5.65,9.03,1244.0,10.0,0.8,573,Medium,40.1,15.3,100.0,32.2,40.9,Tier 3 - Future Opportunity,11220880.0,0.0
Cuttack,Odisha,123.8,355.0,19.43,2.83,77.8,186.3,94.6,55.4,44.1,2023,2025,201.5,121.6,-79.9,Improving,10472666.666666666,10.47,209524.0,20.01,5.65,9.03,1244.0,10.0,0.8,566,Medium,39.8,15.3,100.0,32.1,40.8,Tier 3 - Future Opportunity,10267147.0,0.0
Ujjain,Madhya Pradesh,128.4,500.0,10.94,0.51,57.5,163.0,128.9,88.4,22.62,2017,2025,187.1,76.5,-110.5,Improving,29831000.0,29.83,392176.0,13.15,4.77,13.24,6654.0,38.0,0.57,2542,High,33.0,35.9,100.0,21.3,40.8,Tier 3 - Future Opportunity,56958240.0,0.0
Jhansi,Uttar Pradesh,94.2,277.0,3.43,0.0,48.1,115.1,92.7,71.6,7.18,2022,2025,126.7,72.3,-54.3,Improving,67305333.33333333,67.31,988861.0,14.69,3.47,12.85,41962.0,13.0,0.03,1109,High,23.6,56.0,100.0,13.6,40.7,Tier 3 - Future Opportunity,263521360.0,0.0
Fatehabad,Haryana,150.0,493.0,20.97,7.1,84.7,188.8,152.0,109.2,36.08,2019,2024,155.4,115.6,-39.9,Improving,17198333.333333332,17.2,254937.0,14.82,2.08,29.86,1190.0,7.0,0.59,1788,High,45.3,30.0,69.2,28.0,40.7,Tier 3 - Future Opportunity,11900000.0,382185.0
Bhiwani,Haryana,143.8,471.0,20.94,5.21,79.6,194.4,138.6,98.7,41.05,2019,2024,149.3,133.7,-15.6,Stable,17198333.333333332,17.2,254937.0,14.82,2.08,29.86,1190.0,7.0,0.59,1996,High,43.5,30.0,69.2,30.5,40.7,Tier 3 - Future Opportunity,11408133.0,382185.0
Chittorgarh,Rajasthan,127.3,339.0,9.78,1.09,53.7,171.7,116.5,96.4,27.48,2023,2025,126.8,121.3,-5.5,Stable,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,736,Medium,31.6,33.9,100.0,23.7,40.5,Tier 3 - Future Opportunity,27208253.0,0.0
